      name:  Changes to evnttype from version 1.2 to version 1.3
  log type:  text
 opened on:  22 Apr 2020, 14:24:38

       
       +------------------------------------------------------------------------+
       |                               country   year    old_etype    new_etype |
       |------------------------------------------------------------------------|
  152. |                           Afghanistan   1985          new    non-event |
  281. |                               Albania   2007    non-event    amendment |
  286. |                               Albania   2012    non-event    amendment |
  312. |                               Algeria   1965    non-event   suspension |
  323. |                               Algeria   1976    amendment          new |
       |------------------------------------------------------------------------|
  326. |                               Algeria   1979    non-event    amendment |
  327. |                               Algeria   1980    non-event    amendment |
  333. |                               Algeria   1986    non-event    amendment |
  336. |                               Algeria   1989    amendment          new |
  339. |                               Algeria   1992    non-event    amendment |
       |------------------------------------------------------------------------|
  343. |                               Algeria   1996    amendment   reinstated |
  863. |                             Argentina   1997    amendment    non-event |
 1127. |                               Austria   2011    non-event    amendment |
 1128. |                               Austria   2012    non-event    amendment |
 1129. |                               Austria   2013    non-event    amendment |
       |------------------------------------------------------------------------|
 1382. |                               Bahamas   1977    amendment    non-event |
 1407. |                               Bahamas   2002    amendment    non-event |
 1566. |                              Barbados   2009    non-event    amendment |
 1567. |                              Barbados   2010    non-event    amendment |
 1909. |                                Belize   2011    non-event    amendment |
       |------------------------------------------------------------------------|
 2755. |            Burkina Faso (Upper Volta)   2013    non-event    amendment |
 2770. |                               Burundi   1970    amendment   samendment |
 2861. |                  Cambodia (Kampuchea)   1994    non-event    amendment |
 2868. |                  Cambodia (Kampuchea)   2001    non-event    amendment |
 2872. |                  Cambodia (Kampuchea)   2005    non-event    amendment |
       |------------------------------------------------------------------------|
 2873. |                  Cambodia (Kampuchea)   2006    non-event    amendment |
 2875. |                  Cambodia (Kampuchea)   2008    non-event    amendment |
 3135. |                            Cape Verde   2010    non-event    amendment |
 3198. |              Central African Republic   2013    non-event      interim |
 3236. |                                  Chad   1991    amendment   samendment |
       |------------------------------------------------------------------------|
 3258. |                                  Chad   2013    non-event    amendment |
 3460. |                                 Chile   2013    non-event    amendment |
 3875. |                              Colombia   2007    non-event    amendment |
 3879. |                              Colombia   2011    non-event    amendment |
 3880. |                              Colombia   2012    non-event    amendment |
       |------------------------------------------------------------------------|
 3881. |                              Colombia   2013    non-event    amendment |
 3994. | Congo, Democratic Republic Of (Zaire)   1961      interim    amendment |
 3998. | Congo, Democratic Republic Of (Zaire)   1965    non-event    amendment |
 3999. | Congo, Democratic Republic Of (Zaire)   1966    non-event    amendment |
 4006. | Congo, Democratic Republic Of (Zaire)   1973    non-event    amendment |
